# t	<x>	<p>	C(t)
60.2	9.047916735956296	(-0.5370228117941419+1.901722870138317j)	0.5067784086587456
60.400000000000006	8.742872856805848	(0.9269703472500412+0.2541663970544354j)	0.5067784086587457
60.6	9.191396310873893	(1.2683362354896592-1.5800949326605767j)	0.5067784086587459
60.800000000000004	8.692728057934485	(-1.325141903229386+0.18970378919607164j)	0.506778408658746
61.0	9.018578892550256	(-2.5270739089887413+1.0070739676868121j)	0.5067784086587462
61.2	8.726313800470106	(0.8173919821441897-0.15318465336701673j)	0.5067784086587463
61.400000000000006	8.663765001266466	(0.4346721030077019+2.5327736550883975j)	0.5067784086587465
61.6	8.839398352433935	(-0.1993244409946178-1.327838103973748j)	0.5067784086587466
61.800000000000004	8.706813999729832	(1.1971534981764143-0.4150777453595546j)	0.5067784086587468
62.0	8.730304156228382	(1.4473368850354262+0.840543212623927j)	0.5067784086587469
62.2	8.86428064646322	(0.7947517191479568+0.6116016626664913j)	0.5067784086587471
62.400000000000006	9.132337518150056	(-2.3259973183588043-2.0150711206348078j)	0.5067784086587472
62.6	8.72969279768467	(-2.259885233243328-3.0923944851322305j)	0.5067784086587473
62.800000000000004	8.59436798457856	(0.11514260946518018-0.9141341069265161j)	0.5067784086587476
63.0	8.881076530634026	(-4.029685998686649+1.3742502879200849j)	0.5067784086587476
63.2	8.864530160636573	(-0.17197631829586812-0.38773499052640875j)	0.5067784086587478
63.400000000000006	8.668982993138602	(1.829558853117632+0.96335381135836j)	0.5067784086587479
